;0;1;2;3;4;5;6;7
name;Experimento 1;Experimento 2;Experimento 3;Experimento 4;Experimento 5;Experimento 6;Experimento 7;Experimento 8
conv_layers_config;[(32, 3, 1), (64, 3, 1), (128, 3, 2), (256, 3, 1)];[(32, 3, 2), (64, 3, 2), (128, 3, 2)];[(64, 3, 1), (128, 3, 1), (256, 3, 2), (512, 3, 1)];[(32, 3, 1), (32, 3, 1), (64, 3, 2), (64, 3, 1), (128, 3, 2), (128, 3, 1)];[(32, 5, 1), (64, 5, 2), (128, 5, 1)];[(32, 3, 1), (32, 3, 2), (64, 3, 1), (64, 3, 2), (128, 3, 1)];[(32, 3, 1), (64, 3, 2), (128, 3, 1)];[(32, 3, 1), (64, 3, 1), (128, 3, 2)]
fc_layers_config;[512, 128];[256];[512, 256];[256, 64];[512];[128];[256, 128];[256]
learning_rate;0,001;0,0005;0,0008;0,0007;0,0005;0,001;0,001;0,0001
dropout_conv;0,2;0,3;0,25;0,3;0,2;0,15;0,5;0,2
dropout_fc;0,4;0,5;0,4;0,5;0,4;0,3;0,6;0,4
epochs_run;70;80;57;80;39;31;73;79
test_loss;0,40821924181779223;0,364667765279611;0,40240107927719754;0,4812105615933736;0,37158812683820724;0,5551271419177453;0,5815612053871155;0,4166274251937866
test_acc;85,86666666666667;86,93333333333332;85,73333333333333;83,43333333333334;87,2;80,53333333333333;80,06666666666666;85,66666666666667
