;0;1;2;3;4;5
name;Experimento 1;Experimento 2;Experimento 3;Experimento 4;Experimento 5;Experimento 6
conv_layers_config;[(64, 3, 2), (128, 3, 2), (256, 3, 2), (512, 3, 2)];[(32, 3, 1), (64, 3, 1), (128, 3, 1), (256, 3, 1), (512, 3, 1)];[(64, 3, 1), (128, 3, 2), (256, 3, 2), (512, 3, 2)];[(32, 3, 1), (64, 3, 1), (128, 3, 1), (256, 3, 1)];[(64, 3, 1), (128, 3, 2), (256, 3, 2), (512, 3, 2)];[(64, 3, 2), (128, 3, 2), (256, 3, 4), (512, 3, 4)]
fc_layers_config;[512, 256];[1024, 256];[512, 256];[256];[512, 256];[1024, 512]
learning_rate;0,0001;0,0002;0,0001;0,001;0,0001;5e-05
dropout_conv;0,3;0,25;0,25;0,25;0,2;0,25
dropout_fc;0,5;0,5;0,5;0,4;0,45;0,5
epochs_run;30;34;39;45;40;84
test_loss;1,584600530334529;1,414217558686511;1,9651324719249745;1,1692164391067976;2,1381266513896926;2,4332623452007316
test_acc;63,510065211227676;61,723844627161895;62,2341933654664;62,91465834987241;61,44031755032605;62,97136376523959
history_dict;"{""train_loss"": [1.7474742622453894, 1.6479784230911494, 1.4720643222101768, 1.3675829305668743, 1.2801385311744287, 1.2104261779587453, 1.160306405470252, 1.0999190689776543, 1.0608887149354957, 1.014951577733733, 0.9786828435000862, 0.9300113322737452, 0.88844739628901, 0.8485311048442059, 0.795728523207233, 0.751272032725498, 0.7015044606548547, 0.6535541425479912, 0.6074428651963056, 0.5622976171547501, 0.5123090535753982, 0.47247929882857914, 0.43513036536846816, 0.4025742098836406, 0.36522657708964723, 0.34695013200916935, 0.3250465261591474, 0.29720598384682523, 0.2731814580896608, 0.25803885430297185], ""train_acc"": [0.2547574329352564, 0.3139019809348311, 0.4095821963925015, 0.45759948970551756, 0.49689925227683474, 0.5252135086289379, 0.5503738615826217, 0.5749672206669265, 0.589709061270775, 0.6107587086714625, 0.6258903575605089, 0.6471526276622134, 0.6604415464757787, 0.6756440695984974, 0.7002728657996385, 0.7173181189978384, 0.7371274673092597, 0.7571140012048619, 0.7735213863000107, 0.7914171303022786, 0.8117934724830788, 0.8267479357879443, 0.8408519082887417, 0.8542471384528155, 0.8666501293454765, 0.8739147382968921, 0.8822070236365569, 0.8948580743470711, 0.9000673305219887, 0.908040681810128], ""val_loss"": [1.7210101658374402, 1.4832089387110523, 1.3872995553593623, 1.295790215969491, 1.2250298211310395, 1.1741517301523237, 1.141118884373738, 1.1292890688960227, 1.096299414257721, 1.074503176254198, 1.0800953259647788, 1.054056195774981, 1.0633674003848883, 1.039564827441764, 1.0910993151031023, 1.0746821093133638, 1.0769051281478257, 1.1297980534114929, 1.1776071302814435, 1.2455210717483092, 1.2538881539352624, 1.3076072484043713, 1.356322210853179, 1.3769669334487828, 1.4461648984751239, 1.488936120878032, 1.4874602470089877, 1.5542406024119442, 1.590406238441597, 1.6597667767664432], ""val_acc"": [0.2672145083593086, 0.410031170303202, 0.4531028620005667, 0.4902238594502692, 0.5196939642958345, 0.5466137716066874, 0.5551147633890621, 0.5587985264947577, 0.5780674412014735, 0.5877018985548313, 0.5894020969113063, 0.5947860583734769, 0.6004533862283933, 0.6109379427599887, 0.6061207140833097, 0.6160385378294134, 0.6123547747237178, 0.6106545763672429, 0.6109379427599887, 0.626239727968263, 0.6194389345423633, 0.6143383394729385, 0.6180221025786342, 0.6211391328988382, 0.6123547747237178, 0.6222725984698215, 0.6134882402947011, 0.6055539812978181, 0.6154718050439217, 0.6188722017568716]}";"{""train_loss"": [1.7505027753996973, 1.6562474184528992, 1.5200351263208685, 1.4422123771888367, 1.3830252919698438, 1.3239077183808174, 1.2705496820603734, 1.2129102125407456, 1.1684819182750077, 1.1182181413385996, 1.0690098879013634, 1.0198325302029803, 0.974946014127664, 0.9332526019717975, 0.8857690902704926, 0.8447385180228412, 0.8061562598547923, 0.7624871950622841, 0.7312263493783934, 0.6921672144713115, 0.660070609510306, 0.6196876034294251, 0.6044054509451212, 0.5657624859522445, 0.5529983892000272, 0.5308871325580018, 0.5004157291769437, 0.4791929548113008, 0.46702614347404725, 0.4496129379634833, 0.42809658237003606, 0.4196566160083252, 0.4050774619259441, 0.38500772125052923], ""train_acc"": [0.2557496722066693, 0.31542577695878665, 0.39044615330096744, 0.42559977320245224, 0.45352422126935754, 0.47879088557354976, 0.5082745667812467, 0.5336475424359474, 0.5500194904142599, 0.5711400120486197, 0.5937843297069351, 0.6154364080938375, 0.6364151812608526, 0.6480739926999539, 0.6701867536057267, 0.6851766540274283, 0.7019738474077749, 0.7179205499840533, 0.7308905347460931, 0.7478649137106205, 0.7570431269711896, 0.7722102129770722, 0.7803253127325561, 0.7945001594670258, 0.7968035720613771, 0.8057691626209291, 0.8156561182182218, 0.8276338637088486, 0.8303625217052341, 0.8385839328112265, 0.8444310570891952, 0.8478684574223041, 0.8527587795456961, 0.8613699989368865], ""val_loss"": [1.7161321721086424, 1.5590044969403059, 1.4362985769592354, 1.3775221381994103, 1.3285134312247853, 1.2719101704156712, 1.2385674948461267, 1.1930195778887007, 1.1985733236797675, 1.154303219812252, 1.1266172002820463, 1.1326499082914456, 1.1213804256074926, 1.124693257135114, 1.1340436396973097, 1.1322070174056431, 1.1203596436899692, 1.1496425112099782, 1.1502213030842419, 1.1843008962627442, 1.1825370435574196, 1.2132026566834855, 1.2510607145973696, 1.2527860431098234, 1.231099819792469, 1.2483908001171964, 1.2913612668458176, 1.334566372046899, 1.3398026988336742, 1.4082782732660084, 1.4044581736475188, 1.401893073588939, 1.388905529024649, 1.4533587641133638], ""val_acc"": [0.2708982714650042, 0.3607254179654293, 0.42930008500991784, 0.45423632757155, 0.4862567299518277, 0.504675545480306, 0.5103428733352224, 0.5239444601870218, 0.5344290167186172, 0.5570983281382828, 0.559931992065741, 0.5726834797393029, 0.5831680362708983, 0.583451402663644, 0.5871351657693398, 0.5905355624822896, 0.5976197223009351, 0.6035704165485973, 0.5922357608387645, 0.5987531878719183, 0.6015868517993765, 0.6007367526211391, 0.5936525928024936, 0.6078209124397846, 0.6049872485123264, 0.6049872485123264, 0.6032870501558515, 0.6035704165485973, 0.6066874468688014, 0.5913856616605271, 0.5950694247662227, 0.5990365542646642, 0.6061207140833097, 0.6030036837631056]}";"{""train_loss"": [1.7576568028037944, 1.696446031263369, 1.5145607402117764, 1.4102808685710646, 1.3248569074556251, 1.2499905559113365, 1.183375445533058, 1.1289839734851674, 1.0730367087765316, 1.021923817147387, 0.9622305577057892, 0.9055929949216094, 0.8517953722865353, 0.7910125708042669, 0.7203036046914424, 0.6540862836959939, 0.5968947067665105, 0.5281369390162897, 0.4870191964890576, 0.4279387437134285, 0.39147366457723226, 0.3515027857639141, 0.31600059937094177, 0.2999588827611773, 0.26951628052073917, 0.24325591636889415, 0.22572929772180292, 0.21380895017603843, 0.20038465404055103, 0.1821619890198033, 0.17782069866983552, 0.16477500462751501, 0.1626646840007128, 0.1464493943004665, 0.1371754866669372, 0.13714130462586802, 0.13261516238897253, 0.12098647917608396, 0.12244256795678544], ""train_acc"": [0.252843828626103, 0.28296537793685106, 0.3931393741805167, 0.4403770509231369, 0.47492823983840676, 0.5130585775541302, 0.5405577802190014, 0.5623870441900847, 0.5867323434565364, 0.6080300506750771, 0.6319146674226584, 0.6550905418335164, 0.6772033027392891, 0.7006272369680003, 0.7305716006945675, 0.756121761933449, 0.7773131578014812, 0.803501187143414, 0.8188100216166413, 0.8446082426733761, 0.8561253056451327, 0.8726035649739537, 0.8849711187497785, 0.8922357277011942, 0.9032921081540806, 0.9132499379850455, 0.92108154080584, 0.9255820546440342, 0.9276374074205322, 0.9358942556433608, 0.9377724228356781, 0.9429816790105957, 0.9447180977355683, 0.9496438569757965, 0.9536482511782841, 0.9532230057762501, 0.9549594245012226, 0.9575108969134272, 0.9576172082639356], ""val_loss"": [1.7377597958009958, 1.5560974361674242, 1.4151729874314989, 1.339215083918108, 1.2757139597103933, 1.2260116768748066, 1.1770340851461898, 1.14367831270159, 1.138704019215736, 1.1416762712894266, 1.0988268555646308, 1.111661999818116, 1.1206699433763159, 1.1315028535032718, 1.1393314106128614, 1.19688539175313, 1.2404712673691523, 1.2734507700308553, 1.385848300792773, 1.466348805730557, 1.46170444194978, 1.46817467896889, 1.5562954447566026, 1.6789885256370831, 1.686181693703367, 1.74512359439972, 1.831686936540555, 1.8729115247591321, 1.8665730455300733, 1.8677647771157027, 1.971712726646795, 1.8651349033097364, 1.9609989708157023, 2.0406156394933634, 2.0915711422282732, 1.950893555916413, 1.998583662945679, 2.22597380424566, 2.1086298445528375], ""val_acc"": [0.25304618872201756, 0.37829413431567016, 0.4332672145083593, 0.4754888070274865, 0.5001416831963729, 0.5179937659393596, 0.5310286200056673, 0.5604987248512326, 0.5545480306035704, 0.5746670444885237, 0.5848682346273731, 0.5823179370926608, 0.5987531878719183, 0.6018702181921224, 0.5945026919807311, 0.6032870501558515, 0.6049872485123264, 0.6044205157268348, 0.6137716066874469, 0.6066874468688014, 0.6049872485123264, 0.6075375460470388, 0.6078209124397846, 0.610371209974497, 0.6117880419382261, 0.6095211107962596, 0.6086710116180221, 0.6049872485123264, 0.6137716066874469, 0.612071408330972, 0.6066874468688014, 0.6047038821195806, 0.6047038821195806, 0.6083876452252763, 0.6064040804760555, 0.6030036837631056, 0.6064040804760555, 0.6049872485123264, 0.6081042788325305]}";"{""train_loss"": [1.6525229754955375, 1.3836843863727901, 1.26526965567001, 1.1775028786030137, 1.120056975330991, 1.0720264950009468, 1.0265157239138605, 0.9875602755773337, 0.9455771655252998, 0.9152521789063383, 0.8839610377798226, 0.8505090610602225, 0.8330399126417476, 0.7987806288701502, 0.7859326189082807, 0.7666513439744574, 0.7450556925162733, 0.7189691554178206, 0.7069568112294541, 0.6964060692142691, 0.6813129965658035, 0.6559998387714868, 0.6540018210586301, 0.6370224871314042, 0.6254333555835689, 0.624943393163219, 0.609948393153225, 0.5950549530705849, 0.5940522134584971, 0.5821896167245272, 0.5783366089299093, 0.5713596431038593, 0.5577019717899566, 0.5439490521238014, 0.5483504199509398, 0.542727300452157, 0.5411699880461718, 0.5312505032440922, 0.5280473076514424, 0.517794621823389, 0.5103566420779956, 0.5058808582616252, 0.4953454564572344, 0.49900773589525466, 0.49657782465203654], ""train_acc"": [0.31627626776285483, 0.45026400652042947, 0.5071051419256529, 0.5428966299301888, 0.5680569828838725, 0.5915872284630922, 0.6014033098267125, 0.6223112087600553, 0.6365214926113612, 0.6500939083596159, 0.6656508026506963, 0.6795421524504767, 0.6849994684432474, 0.6964102200644956, 0.7029660866791878, 0.7098763244622418, 0.7192317233069917, 0.725185158935469, 0.7325915163542294, 0.7342216237286935, 0.7423721606010135, 0.7544562174421489, 0.7554130195967256, 0.7594528509160494, 0.7657252205960523, 0.7673907650873525, 0.7704737942520996, 0.7788015167086005, 0.7775966547361707, 0.7838690244161735, 0.7848967008044225, 0.7869520535809207, 0.791275381834934, 0.7988589248378752, 0.7966618235940324, 0.7989652361883837, 0.7996031042914349, 0.8028633190403629, 0.8033594386760693, 0.8083206350331337, 0.8101279279917786, 0.8135653283248875, 0.815904178036075, 0.8139196994932493, 0.8180658421630816], ""val_loss"": [1.445267772194886, 1.2643462276283084, 1.1771142264201575, 1.1455110226045015, 1.122862831277461, 1.0908437799414281, 1.0741764383702481, 1.0717816374463378, 1.0640892413629286, 1.0981799278626803, 1.0663438233142872, 1.0789620112886371, 1.0819948288934296, 1.0883251754073524, 1.0902703827519902, 1.1190330671095314, 1.1079141186161263, 1.1375457194514234, 1.1096444902828104, 1.1179015792845057, 1.1311815533566387, 1.1463651699667174, 1.1344484204305538, 1.1517663128688809, 1.1595621246493009, 1.1217696684958678, 1.1763100929454826, 1.1876351525777458, 1.179783784623658, 1.1838257648546928, 1.2169357831432854, 1.2036403944891618, 1.1885958835334811, 1.2598519560702295, 1.237466786866419, 1.2633719930367755, 1.226135673824266, 1.2699628177429603, 1.2285342857972121, 1.21760320356055, 1.2588520075721557, 1.2615867261340714, 1.2752556902182004, 1.303589921627277, 1.2633387169239372], ""val_acc"": [0.42844998583168037, 0.4981581184471522, 0.5341456503258714, 0.5480306035704166, 0.5644658543496741, 0.5746670444885237, 0.5794842731652026, 0.5894020969113063, 0.5956361575517144, 0.5925191272315103, 0.615188438651176, 0.6032870501558515, 0.6126381411164636, 0.6047038821195806, 0.6115046755454803, 0.6086710116180221, 0.6134882402947011, 0.612071408330972, 0.6168886370076508, 0.6092377444035137, 0.6112213091527345, 0.6095211107962596, 0.6160385378294134, 0.6211391328988382, 0.6106545763672429, 0.6171720034003967, 0.6129215075092094, 0.6146217058656843, 0.6160385378294134, 0.621422499291584, 0.607254179654293, 0.6205724001133466, 0.6202890337206007, 0.6157551714366676, 0.6270898271465004, 0.6188722017568716, 0.6157551714366676, 0.6194389345423633, 0.6242561632190422, 0.6234060640408048, 0.6231226976480589, 0.6200056673278549, 0.6211391328988382, 0.6129215075092094, 0.6129215075092094]}";"{""train_loss"": [1.7591474681333326, 1.664203024002615, 1.4779439965046044, 1.3767031701561865, 1.2904003935957906, 1.219718406001776, 1.152149222567036, 1.0914039095653996, 1.0300203406450417, 0.9653757063248117, 0.8997003557731126, 0.8307696665776833, 0.7465658941484029, 0.6702437781460454, 0.5952729409986107, 0.5237616611733537, 0.4531890852342165, 0.40399006055676245, 0.3522112132314289, 0.31495257591414644, 0.27570823716607845, 0.24751240738569757, 0.2262500148356191, 0.2043819522154509, 0.1865091881108126, 0.17127621052934233, 0.1651322108958537, 0.1499148646773604, 0.14159467424166997, 0.13101736864737706, 0.12855836400957119, 0.11810173516531147, 0.11267544825062102, 0.11317236998585689, 0.10717104522768724, 0.10211993054528692, 0.09554153625646132, 0.0952158775285529, 0.08843499057075707, 0.08733106637863666], ""train_acc"": [0.25217052340621565, 0.30667280910025163, 0.40674722704560756, 0.45660725043410466, 0.4905914454799957, 0.5213863000106311, 0.5504447358162939, 0.5814876501647825, 0.6026790460328147, 0.6329423438109075, 0.6584216308161168, 0.6873737552712711, 0.7198695914100429, 0.7476168538927673, 0.7824515397427265, 0.8075410184627378, 0.831567383677664, 0.8521563485594812, 0.870831709132145, 0.8891526985364471, 0.9015202523122718, 0.9132499379850455, 0.9189553137956696, 0.9277082816542046, 0.9345122080867501, 0.9411389489351146, 0.9429462418937595, 0.948332683652858, 0.9522662036216734, 0.9548531131507141, 0.955845352422127, 0.9588575073532017, 0.9613381055317339, 0.9606648003118466, 0.9632871469577236, 0.9658386193699281, 0.9680002834969347, 0.9661929905382898, 0.9696658279882349, 0.9698784506892519], ""val_loss"": [1.7376263628062731, 1.5011279972797413, 1.4090923272235836, 1.3138655474112304, 1.2537270541838323, 1.2046744652867283, 1.1628570454625309, 1.1496774451561709, 1.1284105756459137, 1.139567009583179, 1.1316293691838892, 1.157734203048116, 1.163981117078014, 1.2860157571861783, 1.3199482792394632, 1.3642392390914058, 1.475091735274233, 1.5127419903515487, 1.6461043840901781, 1.6577837296942874, 1.8716591069974653, 1.772488184507591, 1.8174737181802687, 1.9258608428909678, 1.9120752130766772, 2.0545399417685326, 2.1054082759617745, 2.1020662049525654, 2.2490447708620636, 2.047500327579966, 2.2491771572877273, 2.3059672335113675, 2.2880494656053405, 2.253788631000881, 2.362340842539138, 2.3933765446372934, 2.3055153701081768, 2.3514874033496884, 2.5251143400241443, 2.3561467960219304], ""val_acc"": [0.25304618872201756, 0.4071975063757438, 0.42844998583168037, 0.48030603570416547, 0.5035420799093228, 0.5216775290450553, 0.5454803060357042, 0.5491640691413998, 0.570983281382828, 0.5729668461320487, 0.5814678379144234, 0.5922357608387645, 0.589968829696798, 0.5891187305185605, 0.585151601020119, 0.5837347690563899, 0.5945026919807311, 0.5913856616605271, 0.5936525928024936, 0.589968829696798, 0.5831680362708983, 0.5956361575517144, 0.585151601020119, 0.5874185321620856, 0.5947860583734769, 0.5936525928024936, 0.5877018985548313, 0.6004533862283933, 0.5933692264097478, 0.6078209124397846, 0.5945026919807311, 0.5981864550864268, 0.5916690280532729, 0.593085860017002, 0.5979030886936809, 0.6049872485123264, 0.6030036837631056, 0.607254179654293, 0.6015868517993765, 0.6049872485123264]}";"{""train_loss"": [1.7585511712231394, 1.7386573250024466, 1.7227160267819925, 1.570234131824033, 1.4478610128078746, 1.3842440825417088, 1.3246180171467055, 1.2693964453480948, 1.2192755766402248, 1.1702587913497773, 1.1302775015224873, 1.091335167211114, 1.0559363671993947, 1.0212107003421609, 0.9895018659495899, 0.9602067830725739, 0.9263201428235323, 0.8921313233360172, 0.8585264124320786, 0.8249149660506692, 0.7923522852259551, 0.7580015683263691, 0.7225234730043698, 0.6864325314482451, 0.6400909942884272, 0.6108359228610367, 0.5759930263556158, 0.5329734564541444, 0.5020757305049267, 0.47476192957674224, 0.43724885016532966, 0.4080249979902477, 0.39385541312145966, 0.3497390664112999, 0.3372424440514193, 0.309951487442423, 0.2907900742555713, 0.27027359146695695, 0.2534403905867601, 0.24063260771970213, 0.22532444746606495, 0.2103669774148317, 0.20546499964582063, 0.18945895582294942, 0.17997415133926617, 0.1755753073603313, 0.16483572807733696, 0.14992711767926561, 0.15273445067512917, 0.13941922839508536, 0.14366577500455321, 0.13678337999656937, 0.13340115933557425, 0.12819267108993146, 0.11866843047786761, 0.11387535833653216, 0.11094295756750182, 0.11030205060829577, 0.10578942361621999, 0.0986389651344865, 0.09727711285460472, 0.09308165685649318, 0.09512380115557682, 0.09228226161745769, 0.09028819909041987, 0.08737093923436728, 0.08546262206594528, 0.08038781878808299, 0.08798006631127957, 0.07620953957851978, 0.07848683501222778, 0.07828109812306569, 0.07520649946108948, 0.07481426024199116, 0.07034879815500203, 0.06749941043959962, 0.0745969525899409, 0.06868003991415095, 0.06989008793156858, 0.06479528455960139, 0.06540666877943023, 0.06505123464880867, 0.05993400415147016, 0.05951926710777218], ""train_acc"": [0.25071760161593254, 0.2544384988837308, 0.2631205925085935, 0.3631950104539495, 0.41915021793826857, 0.44416882242460753, 0.46844324745738686, 0.4983521740671179, 0.5204294978560544, 0.5399907863496226, 0.5570714766646586, 0.5732662390587902, 0.5887168219993621, 0.6064353804174493, 0.6213189694886424, 0.6313831106701159, 0.6463375739749814, 0.6601580495410894, 0.6735532797051632, 0.6891456111130798, 0.7002728657996385, 0.7181331726850704, 0.7304298522272228, 0.7464119919203374, 0.7611538325241858, 0.7745490626882597, 0.7859243771926716, 0.8035720613770864, 0.8138488252595769, 0.8252950139976611, 0.8384776214607179, 0.8509514865870513, 0.8562670541124774, 0.8735958042453666, 0.8761827137744073, 0.8878060880966725, 0.8948580743470711, 0.9032921081540806, 0.9071193167723874, 0.9144547999574755, 0.9186718168609802, 0.9224281512456146, 0.9259718629292321, 0.9314291789220029, 0.9364966866295759, 0.9382331053545484, 0.9435132357631383, 0.9481554980686772, 0.9480846238350048, 0.9504943477798646, 0.9499273539104859, 0.953825436762465, 0.9539317481129735, 0.9555618554874376, 0.9597434352741061, 0.9604876147276658, 0.9611254828307169, 0.9614798539990786, 0.962365781919983, 0.9661929905382898, 0.9669371699918494, 0.9677522236790814, 0.9685672773663134, 0.969276019703037, 0.9683546546652965, 0.9712604982458627, 0.9705517559091392, 0.9715439951805521, 0.9710124384280095, 0.9740954675927567, 0.9726779829193097, 0.9729969169708352, 0.9744144016442822, 0.9749459583968249, 0.9752648924483504, 0.9768949998228145, 0.9743789645274461, 0.9767532513554698, 0.975583826499876, 0.9779581133278996, 0.9783124844962614, 0.9786314185477869, 0.9787377298982954, 0.980048903221234], ""val_loss"": [1.7363679927210862, 1.7237133629837533, 1.6775607676302011, 1.4609972547626793, 1.3960248855127089, 1.34566688409234, 1.289986464550962, 1.2407247641499368, 1.2088345105974354, 1.1995516820547094, 1.1378286490868699, 1.1206021877921448, 1.1315256046417854, 1.1228660706860312, 1.0941195642012447, 1.1048815311707259, 1.130424151342224, 1.0921764628648691, 1.1270061913074396, 1.1009238657042, 1.096803963741725, 1.1386225881742735, 1.1895583373151106, 1.1431655079827292, 1.2174399696621958, 1.249845912416652, 1.2165573366507825, 1.285977274069674, 1.3411198269040634, 1.4077498858087831, 1.3652914287213667, 1.4442965475281293, 1.5193197940692378, 1.4806997648005649, 1.5588567224836578, 1.521202221474792, 1.6189258723530562, 1.6681943849788978, 1.698700507864732, 1.7357647585172968, 1.8050805968716719, 1.862221543800395, 1.8578432371745404, 1.8947677392735296, 1.9148215952322212, 1.9051728408712947, 1.8586577044292698, 2.024272808342218, 2.0409789519122183, 1.961417283441636, 1.9673778072029107, 2.025461240272814, 2.000388253880277, 1.9983535963470858, 2.002697982339489, 2.005032043850229, 2.0956508552565323, 2.072717166142884, 2.0762861450254224, 2.21598955077671, 2.3869383291875246, 2.2401757551746146, 2.108647503370467, 2.3232566967805, 2.2093779998178285, 2.205131529951001, 2.3271317934645372, 2.6031963889407654, 2.3122576621410427, 2.3758712889081393, 2.2253619633777584, 2.3754840104564385, 2.296343260427547, 2.332738568810506, 2.3172369295829887, 2.328003505567344, 2.3335556708979315, 2.4840236369190016, 2.2761037931390917, 2.276944843693812, 2.307167569582305, 2.3849006892939606, 2.4689602015477194, 2.4981148963138042], ""val_acc"": [0.25304618872201756, 0.25304618872201756, 0.3199206574100312, 0.4188155284783225, 0.4412014735052423, 0.45423632757155, 0.47888920374043636, 0.5055256446585435, 0.522244261830547, 0.5211107962595636, 0.5539812978180788, 0.5534145650325871, 0.5551147633890621, 0.5712666477755738, 0.5783508075942193, 0.577217342023236, 0.585151601020119, 0.5905355624822896, 0.5905355624822896, 0.6013034854066308, 0.6015868517993765, 0.5970529895154435, 0.5967696231226977, 0.6123547747237178, 0.6180221025786342, 0.6030036837631056, 0.6143383394729385, 0.6052706149050723, 0.6166052706149051, 0.6160385378294134, 0.6222725984698215, 0.6095211107962596, 0.6052706149050723, 0.6168886370076508, 0.6157551714366676, 0.6225559648625673, 0.6132048739019552, 0.624539529611788, 0.6123547747237178, 0.619722300935109, 0.6129215075092094, 0.6123547747237178, 0.6188722017568716, 0.6225559648625673, 0.6259563615755172, 0.6166052706149051, 0.6222725984698215, 0.6171720034003967, 0.6200056673278549, 0.6211391328988382, 0.619722300935109, 0.6248228960045339, 0.6279399263247379, 0.6234060640408048, 0.6191555681496175, 0.612071408330972, 0.6217058656843298, 0.6279399263247379, 0.6146217058656843, 0.6202890337206007, 0.624539529611788, 0.6273731935392463, 0.61830546897138, 0.6259563615755172, 0.6282232927174837, 0.6228393312553131, 0.6248228960045339, 0.621422499291584, 0.6202890337206007, 0.6222725984698215, 0.6287900255029754, 0.6205724001133466, 0.6228393312553131, 0.6296401246812128, 0.6200056673278549, 0.6287900255029754, 0.6222725984698215, 0.6222725984698215, 0.6208557665060924, 0.6191555681496175, 0.6285066591102295, 0.619722300935109, 0.6279399263247379, 0.6174553697931425]}"
