;0;1;2;3;4;5
name;Experimento 1;Experimento 2;Experimento 3;Experimento 4;Experimento 5;Experimento 6
conv_layers_config;[(64, 3, 2), (128, 3, 2), (256, 3, 2), (512, 3, 2)];[(32, 3, 1), (64, 3, 1), (128, 3, 1), (256, 3, 1), (512, 3, 1)];[(64, 3, 1), (128, 3, 2), (256, 3, 2), (512, 3, 2)];[(32, 3, 1), (64, 3, 1), (128, 3, 1), (256, 3, 1)];[(64, 3, 1), (128, 3, 2), (256, 3, 2), (512, 3, 2)];[(64, 3, 2), (128, 3, 2), (256, 3, 4), (512, 3, 4)]
fc_layers_config;[512, 256];[1024, 256];[512, 256];[256];[512, 256];[1024, 512]
learning_rate;0,0001;0,0002;0,0001;0,001;0,0001;5e-05
dropout_conv;0,3;0,25;0,25;0,25;0,2;0,25
dropout_fc;0,5;0,5;0,5;0,4;0,45;0,5
epochs_run;41;40;36;61;32;67
test_loss;1,7697959237193024;1,4470174580139847;1,926439088179428;1,2302800344537315;1,9974979921183105;2,2183737843838465
test_acc;64,25188074672612;60,29534689328504;62,190025076623016;62,66369462245751;59,710225689607135;62,05071050431875
history_dict;"{""train_loss"": [1.8282978143797983, 1.7897504290516604, 1.633675604318517, 1.483676566342342, 1.3827867731496106, 1.3041387092415668, 1.238533084845733, 1.177620371974471, 1.136172193366244, 1.0859831629171819, 1.0435699035291817, 1.0019376185139732, 0.9601457205231966, 0.9182784741062443, 0.8767636695925962, 0.8236015572281831, 0.783567775088487, 0.7399828507465988, 0.6968250466454402, 0.64710763076982, 0.5983671680787808, 0.5563048949298608, 0.5122354996067765, 0.47771885525308694, 0.4415060779597344, 0.40543077622587237, 0.37645204232742163, 0.3548106925202004, 0.3253336907628977, 0.30052679868704296, 0.2818413209225251, 0.26385347905517426, 0.24901042933334747, 0.2395322157131093, 0.2245201398687779, 0.2158585085615211, 0.19673157311017547, 0.186715657870572, 0.18795475475532913, 0.17533485483814296, 0.17023807489220893], ""train_acc"": [0.2367550245567592, 0.2505834407328712, 0.346476714619109, 0.4222020969034101, 0.46553345640739835, 0.49750949179699744, 0.5240865233898777, 0.5508725486781149, 0.5688460064788046, 0.5888745689505033, 0.6039569472987565, 0.6206764429273051, 0.6368734543174615, 0.6557177191821381, 0.6713225817687833, 0.6939287331498833, 0.7092897697586122, 0.7266014141906719, 0.7413703019958898, 0.7589257724058658, 0.7804869553101815, 0.7961614824619457, 0.8136124560242433, 0.8246891218781567, 0.8381692152286739, 0.8524504510780592, 0.8616113413912013, 0.8700059214880351, 0.8829286983176008, 0.8944930161273468, 0.9001706781845414, 0.9053955205684628, 0.9106551952349438, 0.9156013793583894, 0.9202340729387997, 0.9238217980424257, 0.929987112055453, 0.93284335922533, 0.9348287993312202, 0.9386255181302031, 0.9412031070396043], ""val_loss"": [1.804315451627058, 1.6969344948752407, 1.497887650433607, 1.388715608201674, 1.3050398770465463, 1.2685376898131022, 1.2045363960707212, 1.1697324332369838, 1.1538856942429785, 1.1358785664480555, 1.1142555671536714, 1.0992112979811857, 1.1007362798450053, 1.074704214536104, 1.090186794526931, 1.082788217961207, 1.1100883607115046, 1.1179565040804145, 1.1347485795330623, 1.17201589599696, 1.1419454206826463, 1.2605502445507129, 1.2440346859065428, 1.253474173256201, 1.3866140693633726, 1.3692579677955923, 1.4190577129096698, 1.4323000869700488, 1.4664506103773907, 1.6136776074356074, 1.5867027347883031, 1.7601218944341235, 1.7909184017696895, 1.6770293024397387, 1.8209228928157566, 1.7180389518291381, 1.8455012060533695, 1.8931230778613108, 1.9164888434305136, 1.8362131115452895, 1.8902328773672847], ""val_acc"": [0.24937308442463083, 0.3123432711061577, 0.41877960434661465, 0.4566731680133742, 0.49986068542769574, 0.5123989969350794, 0.5394260239621065, 0.5578155475062692, 0.5631095012538312, 0.5717470047366955, 0.5867929785455559, 0.5940373363053776, 0.5940373363053776, 0.6001671774867651, 0.6040679855112845, 0.609640568403455, 0.6163276678740597, 0.6127054889941488, 0.6199498467539705, 0.6179994427417108, 0.6174421844524938, 0.6152131512956255, 0.6191139593201449, 0.6219002507662301, 0.6182780718863193, 0.6168849261632767, 0.6216216216216216, 0.6118696015603232, 0.6182780718863193, 0.6235720256338813, 0.6260796879353581, 0.624965171356924, 0.6182780718863193, 0.6205071050431875, 0.6132627472833658, 0.6191139593201449, 0.6230147673446642, 0.6143772638617999, 0.6152131512956255, 0.619671217609362, 0.6199498467539705]}";"{""train_loss"": [1.8142848396347775, 1.7712596541948546, 1.6345986298265085, 1.5354968304627283, 1.46486922080101, 1.3955153338882325, 1.342683908529028, 1.2905388156707236, 1.2378220362840824, 1.1900457988990678, 1.1472456329041354, 1.1023134875809943, 1.0553167960213503, 1.0132884064427097, 0.9557595621593203, 0.9207698165977997, 0.8781187873100254, 0.832698845918153, 0.7987731605173383, 0.7567388960226331, 0.7188154099573806, 0.6856334448533395, 0.6563329141613101, 0.6289927420822438, 0.5945526999450451, 0.5741632555386394, 0.5555747974242381, 0.5287979658405136, 0.512404122010531, 0.49434047951407306, 0.4650397333928487, 0.46213050641262476, 0.44000890223707306, 0.4314412155556718, 0.4167715670735764, 0.3994985733574023, 0.3922302666023203, 0.38300205292387474, 0.3703503110081247, 0.36207512040684525], ""train_acc"": [0.24577658573966352, 0.2720401267895085, 0.3575185481904629, 0.4018948761712355, 0.43293043993172875, 0.4640705005399004, 0.4860845031174893, 0.5082378348253161, 0.529520359469156, 0.5510467100909122, 0.5663032498519628, 0.5873767808004459, 0.6077884983802989, 0.6224528893378383, 0.6441185690898324, 0.6571458427670765, 0.6758159462189557, 0.6911421505451252, 0.7063638580236163, 0.7205754293078825, 0.7367376084154794, 0.750600856874151, 0.75997074088265, 0.7726845240168588, 0.7850151520429134, 0.7920164408373681, 0.7971019540910516, 0.8087011041833572, 0.8151799087394197, 0.8215890487303633, 0.8314814169772545, 0.8309589327388623, 0.8422097600055731, 0.8437772127207496, 0.8501515204291337, 0.8558640147688878, 0.8570831446584695, 0.8633529555191751, 0.8665226932320875, 0.8697620955101187], ""val_loss"": [1.7866238435685187, 1.7098355857267722, 1.5339135799477046, 1.4496193716671515, 1.414630066205878, 1.3497946029853343, 1.298483489548871, 1.2567498445112282, 1.2312955133560874, 1.2125113581707632, 1.183565270654934, 1.156223101016704, 1.1570839604218048, 1.1412534407168984, 1.1310417286098817, 1.131476638010864, 1.1467688686338167, 1.1488979994071562, 1.2044498916787003, 1.1805006798743936, 1.1918439709665252, 1.192173119473504, 1.198127649211724, 1.2627115314735546, 1.257346105861212, 1.3082756072440562, 1.2978565424522939, 1.3393725875892757, 1.290180345769379, 1.3168555027464035, 1.3649472956472732, 1.3523703392052193, 1.3722202846285825, 1.4526545976190788, 1.4785547949670583, 1.4695586927689759, 1.438195819341894, 1.4816996834011722, 1.497085092957221, 1.507400582380765], ""val_acc"": [0.26999164112566176, 0.3349122318194483, 0.41738645862357204, 0.43382557815547507, 0.45388687656728893, 0.4770130955697966, 0.49846753970465313, 0.5227082752855948, 0.5341320702145445, 0.5374756199498467, 0.5525215937587071, 0.5645026469768738, 0.571468375592087, 0.5817776539426024, 0.5870716076901644, 0.58790749512399, 0.5887433825578156, 0.5881861242685985, 0.5887433825578156, 0.5945945945945946, 0.5965449986068543, 0.5982167734745054, 0.6015603232098078, 0.6004458066313736, 0.5979381443298969, 0.5962663694622458, 0.6007244357759821, 0.6010030649205907, 0.5959877403176372, 0.6093619392588465, 0.6051825020897186, 0.60490387294511, 0.599609919197548, 0.5926441905823349, 0.5979381443298969, 0.6051825020897186, 0.5987740317637225, 0.6023962106436334, 0.5971022568960713, 0.5954304820284202]}";"{""train_loss"": [1.8308753923561103, 1.7995400009843232, 1.6622255905705388, 1.5036559004059298, 1.4021513970561186, 1.3281967940178199, 1.2591069985293077, 1.1999071010904978, 1.14897900315893, 1.0883417285436656, 1.0393929610664623, 0.9893700356451736, 0.9365555385324316, 0.8789780356072721, 0.8190308498436848, 0.7600631067037723, 0.7028147761440313, 0.6419540100027232, 0.5811295115032965, 0.5320411399928142, 0.4780309524199877, 0.44485946682421385, 0.39735061198907934, 0.3659418537657921, 0.3315175851531452, 0.3057723361050897, 0.276942645751046, 0.2660234165858515, 0.24071853231198653, 0.22818385216265813, 0.21238212761466557, 0.1882489309659003, 0.1910346300930658, 0.17858637921936962, 0.16508602961057522, 0.16155848640705492], ""train_acc"": [0.23797415444634087, 0.24877216203977848, 0.33456407398376814, 0.4159322860427044, 0.45915914869901425, 0.49273746908634924, 0.516423421226793, 0.5431049496673517, 0.5670347277857118, 0.5884565815597896, 0.6073705109895852, 0.6298721655230067, 0.6509108641889303, 0.672541711658365, 0.6983176007523773, 0.7189034797450277, 0.7402208366714271, 0.7635236337037166, 0.7871399212790414, 0.8069594900553834, 0.8261172454630952, 0.838099550663555, 0.857117976941029, 0.8682294750775018, 0.8816747361454597, 0.8908356264586018, 0.9024347765509074, 0.9044898812219164, 0.9140339266432129, 0.9206172280469539, 0.9254589153227211, 0.9360130969382424, 0.9347939670486607, 0.9380682016092514, 0.9434323731234108, 0.9436761991013272], ""val_loss"": [1.8259330826836664, 1.7614098686001434, 1.518746475350993, 1.402793158924191, 1.3354994860423512, 1.2789363162236547, 1.2423920492237077, 1.1959038265703381, 1.1656628169034244, 1.14443681697787, 1.1321789843353862, 1.1274790063845013, 1.1417212043176557, 1.1495795029722307, 1.1486775372545843, 1.1811615774544477, 1.1750412172645406, 1.2370794875172062, 1.287871669912511, 1.3314352101454598, 1.367737917240432, 1.4329670725276658, 1.48570948474651, 1.5880909885834371, 1.6119394417209658, 1.6861256436074004, 1.7611934371929907, 1.6706215811991432, 1.7302091622890685, 1.824348178471852, 1.6672163891672722, 1.9702748220157544, 1.9743446469987858, 1.9671030356446226, 2.12372330747032, 2.05530120312387], ""val_acc"": [0.24937308442463083, 0.2928392309835609, 0.41432153803287824, 0.4494288102535525, 0.4797993870158819, 0.5126776260796879, 0.5293953747561995, 0.5472276400111452, 0.5597659515185288, 0.5695179715798272, 0.5689607132906102, 0.5748119253273892, 0.5784341042073001, 0.5876288659793815, 0.5909724157146837, 0.5940373363053776, 0.5948732237392031, 0.5968236277514628, 0.5973808860406798, 0.6060183895235441, 0.6032320980774589, 0.6010030649205907, 0.6068542769573697, 0.6054611312343271, 0.6099191975480636, 0.6179994427417108, 0.609640568403455, 0.6127054889941488, 0.6079687935358038, 0.6015603232098078, 0.6060183895235441, 0.6129841181387573, 0.6021175814990248, 0.6001671774867651, 0.604346614655893, 0.6168849261632767]}";"{""train_loss"": [1.752105462330628, 1.5037617364926807, 1.3448300721142177, 1.2485535520467352, 1.181336662500994, 1.1263071922071841, 1.0751012683292596, 1.0370994255150692, 0.9935561414443278, 0.9673651359086999, 0.9289582555182505, 0.8992532636392718, 0.8724029566299173, 0.8503368276385264, 0.821645462171233, 0.7949528717655029, 0.7783277701084182, 0.7569498261578583, 0.744930123237695, 0.7182999230061476, 0.7146537094418667, 0.7012895105786905, 0.6790047698087538, 0.6650952367831756, 0.6552655618638968, 0.6525698742434175, 0.6428989942363904, 0.6354103221824465, 0.6200720860683713, 0.6074161509526778, 0.6042507221558495, 0.588225447260402, 0.5891017049354812, 0.5811922975026468, 0.5727400212141907, 0.565571890610538, 0.5601158452289781, 0.5595634353709381, 0.5517747920194537, 0.5492037451750159, 0.5502870969066609, 0.5324188411046878, 0.5235572373851671, 0.5248625721817352, 0.5275226604095999, 0.511079694662204, 0.5172108245010539, 0.5035661181884025, 0.5091363095997178, 0.5002527515642977, 0.49089300919402923, 0.4874707910765334, 0.4935450467691638, 0.48552328529409067, 0.4816699806130947, 0.47739939700183154, 0.4782573813573499, 0.4801676724372212, 0.47889962752222737, 0.4695228155995741, 0.4748585289592358], ""train_acc"": [0.2830122957957435, 0.4173255773450834, 0.4815214741021979, 0.5224145738270228, 0.5504545612874011, 0.5715280922358842, 0.5942735727472221, 0.6051064126232192, 0.6224180570552789, 0.6333902260615139, 0.6490299209307185, 0.6627886725417117, 0.6714967431815807, 0.6802396461040092, 0.6918736284788742, 0.6980389424919015, 0.7085234595423038, 0.7150022640983663, 0.7186596537671114, 0.7306767912501306, 0.7325229022257829, 0.7380264028701801, 0.7472221254658817, 0.7532481103486711, 0.7544324079556933, 0.7555470409975966, 0.762234839249016, 0.7635584659862761, 0.7681911595666864, 0.7737294924936431, 0.7787105088996482, 0.7789195025950051, 0.7829948796544638, 0.7862691142150545, 0.7872444181267199, 0.7911804660559406, 0.7939322163781393, 0.7929569124664739, 0.7956389982235536, 0.7969277926782542, 0.7978334320248006, 0.8060190184262774, 0.8065415026646696, 0.8070291546205023, 0.8091539238566303, 0.8108955379846041, 0.8125326552648995, 0.8147967536312655, 0.8132641331986485, 0.8171653488453098, 0.8205789125361385, 0.819081124386081, 0.8191856212337595, 0.8244801281827998, 0.8251071092688704, 0.824340799052562, 0.8275802013305932, 0.8253161029642272, 0.8246194573130378, 0.828660002089937, 0.8284510083945801], ""val_loss"": [1.6021928316904464, 1.3452204895006246, 1.2660993212077836, 1.1997810221708196, 1.1741341531824754, 1.1432422280610521, 1.1209279500979772, 1.1092332470679422, 1.1094686925560693, 1.1211636484117686, 1.151519287409773, 1.0966928192386058, 1.120018804511774, 1.1294684009187963, 1.1375415702489267, 1.1362591269754307, 1.1608842918387228, 1.133594420318917, 1.1702030061031325, 1.1864207543912257, 1.1439497350782828, 1.1690818615263967, 1.1787160199294353, 1.1787013982241783, 1.1439269273086456, 1.177253703730257, 1.1582262402757957, 1.1991704254470585, 1.1887748363158204, 1.2201170105643842, 1.2103636597285001, 1.2374493791121033, 1.1988085491240739, 1.247863633647939, 1.2476239776870406, 1.2310346450171918, 1.2576836092902546, 1.254308309120599, 1.2630686498213093, 1.2408807160928077, 1.262565259067884, 1.2671221667061479, 1.2880239285161217, 1.2940937766509988, 1.2705736952792572, 1.299626180714769, 1.2656878602142685, 1.282698631419482, 1.3203521157397171, 1.3086134924567088, 1.2434208529113095, 1.3124333111380893, 1.3286995221791942, 1.2838422408772232, 1.352085585156069, 1.350415876339192, 1.3307307388215186, 1.3080788691102312, 1.308266416785776, 1.3010433286876857, 1.2820544875940263], ""val_acc"": [0.38617999442741713, 0.4697687378099749, 0.5252159375870716, 0.5352465867929785, 0.5541933686263583, 0.5706324881582614, 0.5789913624965172, 0.5834494288102535, 0.5873502368347729, 0.5954304820284202, 0.5881861242685985, 0.6021175814990248, 0.599052660908331, 0.6035107272220674, 0.6124268598495403, 0.6001671774867651, 0.5906937865700752, 0.6129841181387573, 0.6026748397882419, 0.6012816940651993, 0.6110337141264977, 0.6104764558372806, 0.6107550849818891, 0.6074115352465868, 0.615491780440234, 0.6138200055725829, 0.6140986347171914, 0.6146558930064084, 0.6121482307049317, 0.616049038729451, 0.6179994427417108, 0.6060183895235441, 0.6163276678740597, 0.6143772638617999, 0.6074115352465868, 0.6168849261632767, 0.6143772638617999, 0.6143772638617999, 0.6188353301755364, 0.6121482307049317, 0.614934522151017, 0.6185567010309279, 0.6216216216216216, 0.6129841181387573, 0.6177208135971023, 0.6199498467539705, 0.6143772638617999, 0.615491780440234, 0.6179994427417108, 0.6182780718863193, 0.6241292839230984, 0.6171635553078852, 0.6188353301755364, 0.6121482307049317, 0.6213429924770131, 0.6129841181387573, 0.6118696015603232, 0.614934522151017, 0.6124268598495403, 0.6135413764279743, 0.6060183895235441]}";"{""train_loss"": [1.8306022905963746, 1.807438101259916, 1.6933337288045007, 1.5154328736156384, 1.422127369886124, 1.3412854016447953, 1.2701297153802562, 1.1955484252285113, 1.1424086653470802, 1.0802566561896065, 1.0211185304123414, 0.9672613116245607, 0.9020080381378351, 0.8325316538078757, 0.7660065765764369, 0.7007816892884535, 0.6267407713831976, 0.5658142582189867, 0.4966702929106645, 0.4406809679575527, 0.4000094918956984, 0.34813380879815037, 0.3052919137448393, 0.28206139002467007, 0.25449767740855145, 0.22894341239066676, 0.21307912153125394, 0.193489760170827, 0.179347129439713, 0.16308765900791525, 0.15421670730322057, 0.1440209682487537], ""train_acc"": [0.24316416454770282, 0.24793618725835104, 0.315092828033021, 0.40739837681563273, 0.4517050402312864, 0.48138214497196, 0.5134626772092376, 0.5431397819499112, 0.5680448639799366, 0.5912083318819882, 0.6175763697795117, 0.6350273433418092, 0.6606987355881431, 0.6899230206555436, 0.7144449475774147, 0.7413006374307708, 0.7660663903305583, 0.7916681180117733, 0.8203350865582222, 0.8386916994670661, 0.8538785746629977, 0.8725138458323174, 0.8911142847190776, 0.8994392002507924, 0.9104462015395869, 0.9203037375039186, 0.9248319342366506, 0.9316242293357484, 0.9379985370441325, 0.9435368699710892, 0.9485178863770943, 0.9495628548538786], ""val_loss"": [1.8099510720859633, 1.778144385629326, 1.529704113862215, 1.4243655156278783, 1.3586236484604115, 1.2895254362390114, 1.2468887607710513, 1.21329819807338, 1.18615919529279, 1.153307697539809, 1.1420192422226432, 1.1446869792331058, 1.1498671739205706, 1.1871868707768995, 1.177335004249832, 1.265922701152861, 1.2961461265029333, 1.2971349764282107, 1.4932812541997276, 1.4671298176772616, 1.6210438848770772, 1.6350383634984444, 1.8036960154132413, 1.640611475840622, 1.8072235070752314, 1.8994543785569262, 1.9143160557341663, 2.0233923033041754, 2.1415399655753706, 2.0625701580382416, 2.1930593333227053, 2.095224617051693], ""val_acc"": [0.24937308442463083, 0.2658122039565339, 0.4095848425745333, 0.4430203399275564, 0.4784062412928392, 0.5104485929228197, 0.5271663415993313, 0.5282808581777654, 0.5486207857341878, 0.5731401504597381, 0.5742546670381722, 0.5734187796043466, 0.5856784619671218, 0.5853998328225133, 0.5918083031485093, 0.5898578991362496, 0.5934800780161605, 0.5898578991362496, 0.5965449986068543, 0.5870716076901644, 0.5876288659793815, 0.6062970186681527, 0.6029534689328504, 0.6018389523544163, 0.6040679855112845, 0.5968236277514628, 0.5962663694622458, 0.6060183895235441, 0.6051825020897186, 0.6051825020897186, 0.6012816940651993, 0.6026748397882419]}";"{""train_loss"": [1.8273773419121646, 1.8159654232612652, 1.8025796488620358, 1.7658147547136982, 1.6294585116966178, 1.4811130921632802, 1.3887863121725657, 1.3208256351972283, 1.271831338414495, 1.2217919731460696, 1.1811494941085918, 1.138002288350242, 1.0988969426281487, 1.0620586546765645, 1.0264810211851396, 0.9905274397087237, 0.9521781004493756, 0.9209373462884884, 0.8813348059378687, 0.8414730595285863, 0.8127765658133547, 0.7690447654846698, 0.738197657333164, 0.6965814782532659, 0.6567344345174957, 0.6220730095619053, 0.5839110441419488, 0.5480306733966294, 0.51375910353252, 0.48716522713739624, 0.45210362623434563, 0.421393156844212, 0.3886990864501361, 0.36644798037632864, 0.3453845709521816, 0.31877697664688837, 0.29572450267994116, 0.2754837482162784, 0.2547469769744872, 0.2436548559283001, 0.22855319732473064, 0.22412460109063825, 0.2039568965367096, 0.1911111522837448, 0.18279892960463062, 0.17417328398140244, 0.16723653362181756, 0.15764990458346373, 0.15986107001956668, 0.1448423543846272, 0.14358366498272515, 0.13423609502037148, 0.12620971341091844, 0.12758870083750334, 0.1233292606118879, 0.11703376061797843, 0.11188783203697225, 0.10948829332483305, 0.10958269218073656, 0.110112215696093, 0.10409194558340869, 0.10097277232576932, 0.09775400341487221, 0.09259844233092687, 0.09438725015365025, 0.09123734324748017, 0.08889001997902649], ""train_acc"": [0.2443136298721655, 0.24863283290954055, 0.24790135497579158, 0.26597930962415967, 0.3496812846145808, 0.42004249538472255, 0.45762652826639727, 0.4895677313734369, 0.5100142812358494, 0.5307394893587377, 0.5501759030269253, 0.5639346546379185, 0.5797485109199206, 0.592288132641332, 0.6089379637047616, 0.6255529624856316, 0.6379532550768052, 0.654846912118151, 0.6690933156849769, 0.6846981782716222, 0.6969939740151172, 0.7153505869239611, 0.7256609425615661, 0.7438782263401721, 0.7579853007767599, 0.7703159288028144, 0.7848758229126754, 0.8000278658260476, 0.8138214497196001, 0.8217283778606012, 0.8361141105576648, 0.848340241736041, 0.8596607335678706, 0.866627190079766, 0.8720610261590442, 0.8843219896199798, 0.8943536869971089, 0.9041763906788812, 0.9105506983872653, 0.9146609077292835, 0.9177261485945174, 0.9211048800027866, 0.927723013689087, 0.9345849733533038, 0.9375457173708593, 0.9387300149778816, 0.9420042495384723, 0.9446863352955519, 0.9448953289909088, 0.9501898359399491, 0.9481347312689401, 0.9543000452819673, 0.955588839736668, 0.95611132397506, 0.9579922672332718, 0.9592462294054129, 0.9626249608136821, 0.9637395938555854, 0.9640530843986207, 0.9621721411404089, 0.965098052875405, 0.9661778536347487, 0.9669789961336166, 0.9676756417848061, 0.9681632937406388, 0.9696610818906963, 0.9703228952593264], ""val_loss"": [1.8090040097166218, 1.8070345092995581, 1.7913397534971751, 1.6896289303363217, 1.4973269690707323, 1.3997521102843626, 1.3548535793131193, 1.2874239576198359, 1.2890304395268308, 1.2602883294187373, 1.1920010063202475, 1.1863035998094644, 1.150047585505169, 1.1339927916408548, 1.1387269284921824, 1.154408367738381, 1.1221752178705513, 1.0829728433234873, 1.1178486292061283, 1.1347014438013208, 1.1362338491919712, 1.1284203633819658, 1.1541974092964742, 1.1471044672468838, 1.205931989951996, 1.2328113152244091, 1.2025921370083656, 1.27326873085166, 1.2752986855080415, 1.2998449665219978, 1.3620547618365082, 1.46883827814919, 1.4842867057414466, 1.4529161499084022, 1.5367995172232498, 1.4911792212191581, 1.618409861276727, 1.6627029095828019, 1.6239607799149516, 1.6774284197684448, 1.7129489367105861, 1.7431447422082593, 1.7954087175675906, 1.8668754279497242, 1.9429474227871526, 1.9003862298508147, 1.8821503616834159, 1.9732300949548407, 1.9997409110648547, 2.071720387384931, 1.9979896365051717, 1.9209251348837466, 2.1299867089095637, 2.080843303488569, 2.0304528878040053, 2.173171697768304, 2.1550366094631217, 2.2554100537140678, 2.143392103168087, 2.2030477706819367, 2.062201155763245, 2.1388365620190335, 2.190560122259017, 2.1743133119236098, 2.1792517271869594, 2.1914293792095645, 2.299149160864759], ""val_acc"": [0.24937308442463083, 0.24937308442463083, 0.24937308442463083, 0.3123432711061577, 0.4003900808024519, 0.4480356645305099, 0.46363889662858737, 0.5009752020061299, 0.4962385065477849, 0.5090554471997771, 0.5424909445528002, 0.5438840902758428, 0.5606018389523544, 0.5764837001950404, 0.5739760378935637, 0.5700752298690444, 0.5803845082195598, 0.5951518528838117, 0.5993312900529395, 0.6046252438005015, 0.5965449986068543, 0.6029534689328504, 0.5968236277514628, 0.6121482307049317, 0.6110337141264977, 0.6101978266926721, 0.5984954026191139, 0.6060183895235441, 0.6185567010309279, 0.6121482307049317, 0.6121482307049317, 0.620228475898579, 0.6127054889941488, 0.6213429924770131, 0.6140986347171914, 0.6224575090554472, 0.6230147673446642, 0.6205071050431875, 0.6171635553078852, 0.6188353301755364, 0.624965171356924, 0.620785734187796, 0.6238506547784898, 0.6199498467539705, 0.6221788799108386, 0.6107550849818891, 0.6252438005015325, 0.6227361382000557, 0.6082474226804123, 0.6177208135971023, 0.6238506547784898, 0.6235720256338813, 0.6115909724157147, 0.6093619392588465, 0.6174421844524938, 0.6127054889941488, 0.6269155753691836, 0.6127054889941488, 0.6143772638617999, 0.6230147673446642, 0.615491780440234, 0.6213429924770131, 0.6179994427417108, 0.6085260518250208, 0.6140986347171914, 0.6062970186681527, 0.6205071050431875]}"
