;0;1;2;3;4;5
name;Experimento 1;Experimento 2;Experimento 3;Experimento 4;Experimento 5;Experimento 6
conv_layers_config;[(64, 3, 2), (128, 3, 2), (256, 3, 2), (512, 3, 2)];[(32, 3, 1), (64, 3, 1), (128, 3, 1), (256, 3, 1), (512, 3, 1)];[(64, 3, 1), (128, 3, 2), (256, 3, 2), (512, 3, 2)];[(32, 3, 1), (64, 3, 1), (128, 3, 1), (256, 3, 1)];[(64, 3, 1), (128, 3, 2), (256, 3, 2), (512, 3, 2)];[(64, 3, 2), (128, 3, 2), (256, 3, 4), (512, 3, 4)]
fc_layers_config;[512, 256];[1024, 256];[512, 256];[256];[512, 256];[1024, 512]
learning_rate;0,0001;0,0002;0,0001;0,001;0,0001;5,00E-05
dropout_conv;0,3;0,25;0,25;0,25;0,2;0,25
dropout_fc;0,5;0,5;0,5;0,4;0,45;0,5
epochs_run;27;34;30;25;24;28
test_loss;1,338606131;1,359130045;1,798242395;1,152876483;1,604009663;1,208920088
test_acc;63,66675954;61,82780719;61,96712176;62,69155754;59,62663695;62,66369462
history_dict;"{""train_loss"": [1.8282978143797983, 1.7897504290516604, 1.633675604318517, 1.483676566342342, 1.3827867731496106, 1.3041387092415668, 1.238533084845733, 1.177620371974471, 1.136172193366244, 1.0859831629171819, 1.0435699035291817, 1.0019376185139732, 0.9601457205231966, 0.9182784741062443, 0.8767636695925962, 0.8236015572281831, 0.783567775088487, 0.7399828507465988, 0.6968250466454402, 0.64710763076982, 0.5983671680787808, 0.5563048949298608, 0.5122354996067765, 0.47771885525308694, 0.4415060779597344, 0.40543077622587237, 0.37645204232742163], ""train_acc"": [0.2367550245567592, 0.2505834407328712, 0.346476714619109, 0.4222020969034101, 0.46553345640739835, 0.49750949179699744, 0.5240865233898777, 0.5508725486781149, 0.5688460064788046, 0.5888745689505033, 0.6039569472987565, 0.6206764429273051, 0.6368734543174615, 0.6557177191821381, 0.6713225817687833, 0.6939287331498833, 0.7092897697586122, 0.7266014141906719, 0.7413703019958898, 0.7589257724058658, 0.7804869553101815, 0.7961614824619457, 0.8136124560242433, 0.8246891218781567, 0.8381692152286739, 0.8524504510780592, 0.8616113413912013], ""val_loss"": [1.7661853736362925, 1.7762861102413416, 1.8005271718027807, 1.6466802615235872, 1.6231251555502577, 1.6683473781928704, 1.6581101670901848, 1.7301544857285003, 1.782446224618023, 1.6533814275622043, 1.7856921279138052, 1.7539479570102952, 1.7180378527992104, 1.7024340707534664, 1.8181349899853283, 1.8637998311980868, 2.1731488919063224, 2.0426078316950993, 2.135428514402634, 2.3652679484936456, 2.201576992341543, 2.698460367135196, 2.6030506710915216, 2.6845032018926553, 2.9968541441561416, 2.9656637059245514, 3.0954811969310128], ""val_acc"": [0.3048365122615804, 0.28337874659400547, 0.3634196185286104, 0.38760217983651224, 0.4260899182561308, 0.4284741144414169, 0.46900544959128065, 0.483991825613079, 0.4928474114441417, 0.5020435967302452, 0.4942098092643052, 0.5194141689373297, 0.5231607629427792, 0.5187329700272479, 0.5384877384196185, 0.5418937329700273, 0.5180517711171662, 0.5408719346049047, 0.5555177111716622, 0.5442779291553134, 0.5275885558583107, 0.5412125340599455, 0.5418937329700273, 0.5517711171662125, 0.5374659400544959, 0.5350817438692098, 0.5480245231607629]}";"{""train_loss"": [1.8178841162261066, 1.7716880475736894, 1.6579612880844512, 1.559523870165252, 1.4878044465005973, 1.4233258548187002, 1.3605140445748027, 1.3037252254323977, 1.2522211962680656, 1.2074211625379514, 1.1609952324896449, 1.1043083818484767, 1.0654489184427445, 1.0086393778573848, 0.9756488261242272, 0.9240729385186497, 0.8799479767659926, 0.8398490424892646, 0.7945361508193354, 0.7646291368354545, 0.7331206069154887, 0.6863781934231442, 0.6542935620206639, 0.6348423680345144, 0.604638073075764, 0.5766043720638504, 0.5592006481056315, 0.5314010856175166, 0.5090540290925233, 0.49364198279806826, 0.4687658365133468, 0.4588986135205113, 0.43967032880177503, 0.42074226725582725], ""train_acc"": [0.24469678498031977, 0.269880525270821, 0.34476993277369467, 0.39053955205684626, 0.4224807551638859, 0.4525061827301543, 0.479187711170713, 0.503918631787941, 0.5262809571911248, 0.5417116583649727, 0.5610435751854819, 0.584903688738723, 0.6019366749103069, 0.6232540318367062, 0.6380229196419241, 0.6591312828729666, 0.6751889651328852, 0.6902365111985789, 0.7069560068271273, 0.719878783656693, 0.7340206903758403, 0.7500435403531993, 0.7595875857744958, 0.7687136438050786, 0.7817757497648821, 0.7888815354070152, 0.7968232958305758, 0.8088056010310356, 0.8166776968894772, 0.8205440802535791, 0.8292521508934481, 0.8324915531714794, 0.8403984813124804, 0.8483750740186005], ""val_loss"": [1.7694912060729815, 1.7224437719469825, 1.7040871963189148, 1.5945904163963462, 1.7782898027175778, 1.628172522994413, 1.68433454770808, 1.729193104710176, 1.668993402242011, 1.6738603283988682, 1.8031185498354545, 1.7126656592054652, 1.5802952775513444, 1.932476998674772, 1.9227772525610651, 1.8263347343787835, 1.7985164437047143, 2.0009167798533425, 2.066765196641719, 2.0094429478658316, 2.080134243016672, 2.143693515975079, 2.1649227363212233, 2.0556691271082905, 2.2518367429520194, 2.3040655926072953, 2.3590234313413947, 2.423462998964481, 2.2951696679117894, 2.5263055260889535, 2.694093736705728, 2.6675985846922248, 2.7865621192578724, 2.6877245591187022], ""val_acc"": [0.2707765667574932, 0.289850136239782, 0.34502724795640327, 0.39134877384196187, 0.37091280653950953, 0.4369891008174387, 0.42779291553133514, 0.4274523160762943, 0.4659400544959128, 0.4604904632152589, 0.46764305177111715, 0.483991825613079, 0.489441416893733, 0.47377384196185285, 0.494550408719346, 0.48705722070844687, 0.5061307901907357, 0.5204359673024523, 0.4996594005449591, 0.5010217983651226, 0.5248637602179836, 0.5088555858310627, 0.5126021798365122, 0.5258855585831063, 0.5170299727520435, 0.5337193460490464, 0.523841961852861, 0.5323569482288828, 0.5200953678474114, 0.5068119891008175, 0.526566757493188, 0.526566757493188, 0.5166893732970027, 0.5146457765667575]}";"{""train_loss"": [1.8324341829337398, 1.8009772337260734, 1.6756102170369198, 1.5159123859633397, 1.4131760851019515, 1.3348713560809269, 1.262023748999882, 1.2023694975306618, 1.1527645362864767, 1.101517011171399, 1.0511969494767321, 1.0016510230362397, 0.9545458803240328, 0.8941483517156349, 0.830756160660578, 0.7754692027214956, 0.7182325646024317, 0.6529163019282346, 0.5995064653821357, 0.5421189626347221, 0.4820374263616402, 0.4405600227390388, 0.40264077901761314, 0.3623811492348063, 0.33543553238405593, 0.3033640760553515, 0.27626074076720325, 0.2573265400570327, 0.2405882925423191, 0.22843580676838374], ""train_acc"": [0.2401337559650284, 0.24824967780138632, 0.32512452541015013, 0.4050994461667073, 0.453655648054617, 0.4836810756208854, 0.5168414086175067, 0.5423386394510432, 0.5661987530042843, 0.5815597896130134, 0.6024243268661396, 0.6208157720575429, 0.6401476888780522, 0.6658887456895051, 0.6887387230485214, 0.7105785642133129, 0.7306071266850117, 0.7574976488209272, 0.7804172907450625, 0.8004806854993207, 0.8224598557943502, 0.8406423072903967, 0.8528684384687728, 0.8674283325786338, 0.8784005015848688, 0.8918805949353861, 0.9027134348113832, 0.9071023024138771, 0.9149395659897593, 0.9202689052213592], ""val_loss"": [1.7632450787832692, 1.7520012176653994, 1.723170730658383, 1.8109926261434113, 1.6667999669056823, 1.7799749205482753, 1.6001111467137974, 1.6085681486519545, 1.5591300248450088, 1.7328610952933412, 1.8006360283989347, 1.7254836598274168, 1.8223673140970174, 2.027637584332874, 1.851275279021718, 2.0281360415736724, 2.206710407454571, 2.241045158630496, 2.355377518188726, 2.720150084846351, 2.7308961273214147, 2.817921177243017, 3.039968373665043, 3.2395723782053434, 3.1077985984428054, 3.507972466523381, 3.265536965726182, 3.5432461600862344, 3.7772688904640135, 3.934024521050726], ""val_acc"": [0.3048365122615804, 0.2803133514986376, 0.3572888283378747, 0.37159400544959126, 0.4100817438692098, 0.4373297002724796, 0.4540190735694823, 0.47036784741144416, 0.47036784741144416, 0.4713896457765668, 0.49114441416893734, 0.5088555858310627, 0.4901226158038147, 0.521117166212534, 0.5262261580381471, 0.523841961852861, 0.526566757493188, 0.5367847411444142, 0.534741144414169, 0.537125340599455, 0.5401907356948229, 0.5412125340599455, 0.5173705722070845, 0.5275885558583107, 0.5374659400544959, 0.5262261580381471, 0.5340599455040872, 0.5323569482288828, 0.5299727520435967, 0.5180517711171662]}";"{""train_loss"": [1.7452140336267719, 1.506553577340348, 1.3534854970849823, 1.2568539482759347, 1.1871964038985872, 1.1297957841129802, 1.0806978799244666, 1.0396020199596547, 0.9980166657698716, 0.9622802879415945, 0.9308528582929108, 0.903177415146599, 0.8733901799611651, 0.8458179245610825, 0.8298595504554123, 0.7992580885830508, 0.7816461645085683, 0.7629301003238999, 0.7471193486177841, 0.7341285816259263, 0.7168377552086368, 0.7015774200389393, 0.7004686506602819, 0.6789046443427609, 0.6588697531944225], ""train_acc"": [0.28611236894353687, 0.4149918144135985, 0.47810791041136924, 0.5206381274164896, 0.547075829879132, 0.5716674213661221, 0.5891532272109792, 0.607649169250061, 0.6196663067330802, 0.636107144101153, 0.650667038211014, 0.6586784631996935, 0.6709394266606291, 0.6802396461040092, 0.6869274443554286, 0.7003727054233864, 0.705980702915462, 0.7166045490961023, 0.7202967710474067, 0.7258002716918039, 0.7339510258107214, 0.7340903549409593, 0.738827545369048, 0.7460029955763001, 0.7543627433905744], ""val_loss"": [1.6707457515134474, 1.6065526164520014, 1.5654222094720327, 1.697037026407933, 1.6939940589000484, 1.8299436946006171, 1.866421568296261, 1.7104648640759959, 1.966145108766062, 2.006796675092193, 1.9037283519308315, 2.048828855197501, 2.121721507418058, 2.2364054395327453, 2.169130605962686, 2.136469527226378, 2.058275246165429, 2.0596050988750823, 2.093016150212093, 2.196441042325802, 2.326787028715461, 2.349838812929408, 2.0924519095823615, 2.28094161173953, 2.3955685702591567], ""val_acc"": [0.37772479564032696, 0.4420980926430518, 0.4591280653950954, 0.46934604904632155, 0.4976158038147139, 0.5034059945504087, 0.46866485013623976, 0.5071525885558583, 0.5017029972752044, 0.5054495912806539, 0.486716621253406, 0.521117166212534, 0.5194141689373297, 0.5217983651226158, 0.5337193460490464, 0.5306539509536785, 0.5449591280653951, 0.5330381471389646, 0.5306539509536785, 0.532016348773842, 0.5398501362397821, 0.5306539509536785, 0.5435967302452316, 0.5388283378746594, 0.5330381471389646]}";"{""train_loss"": [1.8303997176680686, 1.7980477768797922, 1.6240420559406064, 1.4811290305976836, 1.3905718195354924, 1.3056789316051935, 1.2400726250726197, 1.1731916700993517, 1.1164200274920804, 1.0588903464121298, 1.0025264862924166, 0.9398378085627518, 0.8759120417021589, 0.8062453676866237, 0.7318977320504424, 0.6603285187094383, 0.5829727611985549, 0.5212020643797409, 0.4568865726624351, 0.4028644212784864, 0.35609895158259985, 0.3170026122782521, 0.2901366983784533, 0.25585938824334276], ""train_acc"": [0.23887979379288724, 0.2491553171479327, 0.35689156710439235, 0.4228639102720401, 0.4628165383677592, 0.49911177679473334, 0.5267337768643979, 0.5543209446515031, 0.5797485109199206, 0.6010310355637605, 0.6216169145564109, 0.6497265665819081, 0.6712180849211049, 0.7012086802048139, 0.727193562994183, 0.7555122087150371, 0.7869309275836845, 0.807447142011216, 0.8328398759970741, 0.8548190462921035, 0.8699014246403567, 0.8879097147236058, 0.8978369152530565, 0.9082866000208993], ""val_loss"": [1.7769761186204749, 1.732698131647032, 1.631439475987198, 1.6366233962108394, 1.5781657143574646, 1.649979747933328, 1.6458815852692732, 1.7445115471405943, 1.7665361435601756, 1.8510013964910272, 1.875503502359832, 1.9079937129319526, 1.7518466460932178, 1.936762508969216, 2.2543856253091255, 2.2507316942760665, 2.4565221438290963, 2.3244175508171727, 2.579001956804572, 2.7174255672527594, 2.978333620024637, 3.360366901844659, 3.4539247910398228, 3.1540699563818992], ""val_acc"": [0.3048365122615804, 0.30313351498637603, 0.3688692098092643, 0.4019073569482289, 0.43494550408719346, 0.43358310626702995, 0.4669618528610354, 0.4717302452316076, 0.46423705722070846, 0.46900544959128065, 0.49693460490463215, 0.5006811989100818, 0.5010217983651226, 0.5091961852861036, 0.5197547683923706, 0.5296321525885559, 0.5115803814713896, 0.5241825613079019, 0.5129427792915532, 0.5194141689373297, 0.5194141689373297, 0.526566757493188, 0.502724795640327, 0.5231607629427792]}";"{""train_loss"": [1.8296778557164288, 1.8142227137066769, 1.800079309283024, 1.7844077657559536, 1.7024158699858205, 1.5420943552467192, 1.4377636458832308, 1.3603157366475216, 1.2969236018420254, 1.242102278713946, 1.2017353173769514, 1.162147951078762, 1.11961383276289, 1.0830597641400863, 1.0487338529555268, 1.010602831852972, 0.973196068275618, 0.9342621713767726, 0.9030962584887292, 0.8632445448352366, 0.8241169793241478, 0.7929489673390243, 0.7516896858343722, 0.7142086812161723, 0.6832857243074403, 0.6427447471923766, 0.6054877293052177, 0.5748220829832221], ""train_acc"": [0.24358215193841654, 0.24908565258281376, 0.24797101954091053, 0.2557386185516737, 0.30812637152112576, 0.39827231878505, 0.4403845483994566, 0.4746943467205406, 0.5009578877703856, 0.5239820265421993, 0.5406666898881883, 0.5591277996447107, 0.5708314465846946, 0.5900588665575255, 0.6036782890382807, 0.618482009126058, 0.6355149952976419, 0.6516075098401198, 0.6627190079765927, 0.6765822564352642, 0.6940332299975618, 0.7101605768225991, 0.7245811418022223, 0.7366331115678011, 0.7484412553554635, 0.7626528266397297, 0.7770037270542338, 0.7923995959455223], ""val_loss"": [1.770101438426192, 1.7636419742568636, 1.7694363571317708, 1.7628231850891738, 1.7396257885145556, 1.6592823783448347, 1.7181108238261793, 1.8677108515185945, 1.7408118767699363, 1.76074050622675, 1.8345252252729451, 1.7209932193444275, 1.6491878649844136, 1.8428344206848977, 1.850668534271074, 1.7776054653874536, 1.8697946221042394, 2.0240075412823004, 1.8674865223731267, 1.7434590233119371, 1.807180493014385, 1.8395339104395148, 2.025301413899871, 2.019715748950636, 1.9447919295984004, 2.3475534350735616, 2.1380583850174575, 2.523192288115499], ""val_acc"": [0.3048365122615804, 0.3048365122615804, 0.3048365122615804, 0.3007493188010899, 0.3419618528610354, 0.3814713896457766, 0.41076294277929154, 0.430858310626703, 0.4390326975476839, 0.4550408719346049, 0.46662125340599453, 0.46321525885558584, 0.4724114441416894, 0.4952316076294278, 0.5091961852861036, 0.5177111716621253, 0.5166893732970027, 0.5091961852861036, 0.5088555858310627, 0.5497275204359673, 0.5170299727520435, 0.521117166212534, 0.5153269754768393, 0.5173705722070845, 0.5439373297002725, 0.5235013623978202, 0.5190735694822888, 0.5357629427792916]}"
