;0;1;2;3
name;Experimento 1 - TL;Experimento 2 - TL;Experimento 3 - TL;Experimento 4 - TL
epochs_run;23;27;39;26
learning_rate0.0001;0,0001;0,0003;0,001;0,00005
test_loss;0,357736085;0,415984563;0,487134139;0,376074049
test_acc;91,23333333;87,8;83,86666667;91,53333333
history_dict;"{""train_loss"": [0.37490653033141885, 0.2247152681554521, 0.16906049217454897, 0.14445001686511036, 0.12527565987032646, 0.10370695816148952, 0.08954686396560389, 0.07614826637644483, 0.06953573619892102, 0.054481496768054, 0.05127754076744761, 0.05669728607231235, 0.04714815124474592, 0.040550596824949166, 0.04269168494751914, 0.039204500512844444, 0.03981566132640902, 0.039139460862505575, 0.03526723502819175, 0.036693110003178396, 0.03543040952972822, 0.03822439488268997, 0.03413394824191198], ""train_acc"": [0.8701691896705254, 0.9195903829029386, 0.9406055209260908, 0.9478183437221728, 0.9553873552983081, 0.9616206589492431, 0.9666963490650045, 0.9724844167408727, 0.9742653606411398, 0.9813891362422084, 0.9837043633125556, 0.9808548530721283, 0.9848619768477292, 0.9859305431878895, 0.9856634016028495, 0.9855743544078361, 0.986286731967943, 0.9861086375779163, 0.9878895814781834, 0.9873552983081033, 0.9877114870881567, 0.9861976847729297, 0.989047195013357], ""val_loss"": [0.2919231478215199, 0.2691971081044637, 0.2619778750286293, 0.26676587503238686, 0.27954544724309327, 0.2918425218737585, 0.3068900847071503, 0.3369404928819854, 0.3559720922851358, 0.3900478084421532, 0.45041523374266357, 0.334781784845912, 0.3096571744508648, 0.3677902575077412, 0.36450791577894914, 0.39977695819883263, 0.38665010038226544, 0.430652561226857, 0.3966361416846556, 0.4113633293610667, 0.3944801255401633, 0.5221061739916468, 0.43203579284750276], ""val_acc"": [0.905848787446505, 0.9026390870185449, 0.9062054208273894, 0.9158345221112696, 0.9111982881597718, 0.9122681883024251, 0.9079885877318117, 0.9104850213980028, 0.912981455064194, 0.9094151212553495, 0.8890870185449358, 0.9133380884450785, 0.9240370898716119, 0.9065620542082738, 0.9040656205420827, 0.9165477888730386, 0.9154778887303852, 0.9015691868758916, 0.9154778887303852, 0.9126248216833096, 0.9122681883024251, 0.8791012838801712, 0.905848787446505]}";"{""train_loss"": [0.3649187465544163, 0.2539511357288963, 0.21344540026818443, 0.1955322382764315, 0.1918043916127773, 0.16262232420413705, 0.15839591044219392, 0.15093358583144598, 0.1391282408991671, 0.1317799074195478, 0.11724040507474119, 0.11824317494886641, 0.1049493038033335, 0.10019347108270267, 0.10535020003441924, 0.09377526504486029, 0.0988729532380138, 0.08106255947428948, 0.07336060350905119, 0.07510992422872426, 0.07876248537485661, 0.07392205116956868, 0.07644023735869016, 0.07349340173740103, 0.06609425424786412, 0.07677749142727465, 0.0673405834464547], ""train_acc"": [0.8707034728406056, 0.9088156723063223, 0.9222617987533392, 0.9310774710596617, 0.9313446126447017, 0.9413178984861977, 0.9418521816562778, 0.9458593054318789, 0.9505788067675868, 0.951647373107747, 0.957613535173642, 0.9562778272484417, 0.9624220837043633, 0.9649154051647373, 0.9634906500445236, 0.9653606411398041, 0.9646482635796972, 0.9708815672306322, 0.973820124666073, 0.9720391807658059, 0.9725734639358861, 0.9726625111308994, 0.9739982190560997, 0.9720391807658059, 0.9774710596616206, 0.9731967943009795, 0.9766696349065005], ""val_loss"": [0.31059326777784696, 0.327885158774516, 0.32691168315315383, 0.3361313818620462, 0.319120217813511, 0.46208725786753285, 0.30661775563948507, 0.2888242315272462, 0.3263661180132636, 0.34537859527545633, 0.35220428425473255, 0.3916713517589678, 0.3215804435126749, 0.3653259185407199, 0.35943356729225495, 0.3668905097762715, 0.3335768824467135, 0.39604532686772936, 0.4373511375697295, 0.35749181293312476, 0.3941034093531069, 0.44825554936699114, 0.5045833636325028, 0.3333615619322543, 0.5046561479398426, 0.643815410545311, 0.4445805626439087], ""val_acc"": [0.8940798858773181, 0.8930099857346647, 0.8869472182596291, 0.8887303851640513, 0.8937232524964337, 0.8484308131241084, 0.9029957203994294, 0.9044222539229672, 0.8944365192582026, 0.887660485021398, 0.8794579172610556, 0.8776747503566333, 0.9033523537803139, 0.9004992867332382, 0.8994293865905849, 0.9012125534950072, 0.9119115549215406, 0.8933666191155493, 0.8801711840228246, 0.9051355206847361, 0.9004992867332382, 0.880527817403709, 0.8669757489300999, 0.905848787446505, 0.8726818830242511, 0.8177603423680456, 0.8723252496433667]}";"{""train_loss"": [0.4850334620008698, 0.36791705716855805, 0.33853916995300315, 0.31367331986329644, 0.30152059687717836, 0.29208181989001886, 0.2854194112261384, 0.2685029271608575, 0.26252650223400376, 0.25215443237912727, 0.24900330553761785, 0.2426643800119789, 0.24857858984415168, 0.23020849480548292, 0.2309921126756303, 0.23440424779219385, 0.21928049256413087, 0.23046949677905756, 0.20353468758446344, 0.21923066144369588, 0.21298116941804454, 0.20889659641262473, 0.20394710871330457, 0.1998554479566304, 0.1957320967080438, 0.18425343139354183, 0.19968576147051018, 0.1826322228751433, 0.17896822586270814, 0.1813897044023869, 0.17762572921129177, 0.17617764775761513, 0.17339672555720712, 0.1667924896161257, 0.17204174021207533, 0.15255390754896725, 0.15954298886569185, 0.16108338467425146, 0.1555355169960461], ""train_acc"": [0.8287622439893143, 0.8703472840605521, 0.8789848619768478, 0.890293855743544, 0.893499554764025, 0.9004452359750668, 0.9, 0.903739982190561, 0.9091718610863758, 0.9117542297417631, 0.9090828138913625, 0.9132680320569903, 0.9121104185218165, 0.9164737310774711, 0.9177203918076581, 0.9180765805877115, 0.9219056099732859, 0.920213713268032, 0.9268032056990205, 0.9224398931433659, 0.9227960819234194, 0.9254674977738201, 0.9268032056990205, 0.9297417631344612, 0.931166518254675, 0.9331255565449689, 0.9267141585040071, 0.9335707925200356, 0.9367764915405165, 0.9346393588601959, 0.9372217275155833, 0.9374888691006233, 0.9355298308103295, 0.9406055209260908, 0.9390026714158504, 0.9458593054318789, 0.9430097951914514, 0.9421193232413179, 0.9437221727515583], ""val_loss"": [0.4073622941800769, 0.41116929666462027, 0.8517527494382926, 0.37910790888116974, 0.3784943364146092, 0.4428564877396771, 0.41563024219874817, 0.4125983639382432, 0.8831334694816111, 1.052727975450807, 0.5927347696456692, 0.6742917807738213, 0.46586384784733176, 0.4539558583506504, 0.3398467935781166, 0.3606185750257272, 0.5958309402309369, 0.5751186134811815, 0.41174341887355215, 0.4103611792715402, 0.3454374836149297, 0.3380203537015874, 0.5053863067727287, 1.2778465890255193, 0.373567411418308, 0.5299449535817461, 0.34620302966589933, 0.3644018537562856, 0.2992946781037367, 0.42128699025226896, 0.48477489385387185, 0.5732307776744968, 0.47231401509463194, 0.6941198292540416, 0.5097451230428698, 0.37596739101596977, 0.3961080444522319, 0.4051795880736706, 0.5030069838406867], ""val_acc"": [0.8716119828815977, 0.8659058487874465, 0.7446504992867332, 0.8691155492154066, 0.8808844507845934, 0.8491440798858774, 0.8651925820256776, 0.8498573466476462, 0.7278887303851641, 0.6619115549215406, 0.8092011412268189, 0.7960057061340942, 0.8355920114122682, 0.8491440798858774, 0.8837375178316691, 0.8773181169757489, 0.8209700427960057, 0.8302425106990015, 0.858416547788873, 0.8577032810271041, 0.8776747503566333, 0.8851640513552068, 0.8388017118402282, 0.6683309557774608, 0.8769614835948645, 0.8388017118402282, 0.8912268188302425, 0.8758915834522111, 0.9072753209700428, 0.8673323823109843, 0.8527104136947218, 0.8363052781740371, 0.8580599144079886, 0.8177603423680456, 0.8420114122681883, 0.8823109843081313, 0.8773181169757489, 0.8840941512125535, 0.837018544935806]}";"{""train_loss"": [0.42840575459591534, 0.22890258746707642, 0.18428248086627425, 0.16138895468210812, 0.1260577374234968, 0.1085618691938537, 0.09769709903219398, 0.08236577467974657, 0.06583554063221225, 0.057102276252139816, 0.050859668007317865, 0.04845874842292797, 0.044606981399275845, 0.035037016137465765, 0.03553586806156544, 0.03456092026227304, 0.027793103026247726, 0.03073722317778337, 0.030020488973604126, 0.025177572401097824, 0.022737790881685135, 0.021379775792619054, 0.02292931867184537, 0.022538780024605253, 0.02790915739489512, 0.02642184700219762], ""train_acc"": [0.8564559216384684, 0.9209260908281389, 0.9352626892252894, 0.9408726625111309, 0.9567230632235084, 0.96260017809439, 0.963846838824577, 0.9707925200356189, 0.9777382012466608, 0.9818343722172752, 0.9844167408726625, 0.9838824577025823, 0.9854853072128228, 0.988780053428317, 0.9874443455031167, 0.989047195013357, 0.9905609973285842, 0.9894924309884239, 0.9898486197684773, 0.9918076580587711, 0.9930543187889581, 0.9920747996438112, 0.9932324131789848, 0.9927871772039181, 0.9906500445235975, 0.9910952804986642], ""val_loss"": [0.28706070461898997, 0.26880483767190433, 0.27218799538559646, 0.2597402639915574, 0.2659283985467508, 0.2928738818741729, 0.3056195422783813, 0.28823999802817124, 0.2916191480788117, 0.3106788944096946, 0.33601984935420726, 0.32105883292205495, 0.32829188273823723, 0.3550408246718379, 0.3345429747140888, 0.3369965320306906, 0.32875580899683116, 0.3806616101791277, 0.35535930018452194, 0.3706858173762043, 0.39606530404651, 0.3450079812813077, 0.3557588062680907, 0.42240367147017976, 0.47101783793693286, 0.3885031347289235], ""val_acc"": [0.9083452211126961, 0.9065620542082738, 0.9090584878744651, 0.9140513552068473, 0.9104850213980028, 0.9115549215406562, 0.9087018544935807, 0.9111982881597718, 0.9204707560627675, 0.9147646219686163, 0.9147646219686163, 0.9176176890156919, 0.9172610556348074, 0.916904422253923, 0.9222539229671898, 0.9240370898716119, 0.9233238231098431, 0.9133380884450785, 0.9183309557774608, 0.9190442225392297, 0.9104850213980028, 0.920114122681883, 0.9179743223965763, 0.9136947218259629, 0.9051355206847361, 0.916904422253923]}"
